INFO  - 2014-12-11 21:19:27.359; org.apache.solr.core.SolrResourceLoader; Adding 'file:/D:/Desktop/solr-4.10.1/dist/solr-velocity-4.10.1.jar' to classloader
INFO  - 2014-12-11 21:19:27.481; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-12-11 21:19:27.486; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.1
INFO  - 2014-12-11 21:19:27.588; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-12-11 21:19:27.595; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-12-11 21:19:27.656; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-12-11 21:19:28.363; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-12-11 21:19:28.373; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedWordSetResource for path /schema/analysis/stopwords/english
INFO  - 2014-12-11 21:19:28.374; org.apache.solr.rest.RestManager$Registry; Registered ManagedResource impl org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager for path /schema/analysis/synonyms/english
INFO  - 2014-12-11 21:19:28.427; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-12-11 21:19:28.433; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-12-11 21:19:28.505; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using configuration from instancedir D:\Desktop\solr-4.10.1\example\solr\collection1\
INFO  - 2014-12-11 21:19:28.519; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-12-11 21:19:28.525; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at D:\Desktop\solr-4.10.1\example\solr\collection1\, dataDir=D:\Desktop\solr-4.10.1\example\solr\collection1\data\
INFO  - 2014-12-11 21:19:28.527; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-12-11 21:19:28.532; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-12-11 21:19:28.533; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-12-11 21:19:28.544; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\Desktop\solr-4.10.1\example\solr\collection1\data
INFO  - 2014-12-11 21:19:28.553; org.apache.solr.core.SolrCore; New index directory detected: old=null new=D:\Desktop\solr-4.10.1\example\solr\collection1\data\index/
WARN  - 2014-12-11 21:19:28.554; org.apache.solr.core.SolrCore; [collection1] Solr index directory 'D:\Desktop\solr-4.10.1\example\solr\collection1\data\index' doesn't exist. Creating new index...
INFO  - 2014-12-11 21:19:28.561; org.apache.solr.core.CachingDirectoryFactory; return new directory for D:\Desktop\solr-4.10.1\example\solr\collection1\data\index
INFO  - 2014-12-11 21:19:28.650; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@D:\Desktop\solr-4.10.1\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@D:\Desktop\solr-4.10.1\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-12-11 21:19:28.651; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-12-11 21:19:28.655; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2014-12-11 21:19:28.655; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2014-12-11 21:19:28.657; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2014-12-11 21:19:28.666; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2014-12-11 21:19:28.667; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2014-12-11 21:19:28.740; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2014-12-11 21:19:28.745; org.apache.solr.core.RequestHandlers; created /update: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-12-11 21:19:28.746; org.apache.solr.core.RequestHandlers; created /update/json: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-12-11 21:19:28.746; org.apache.solr.core.RequestHandlers; created /update/csv: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-12-11 21:19:28.747; org.apache.solr.core.RequestHandlers; created /update/json/docs: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-12-11 21:19:28.752; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.753; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.754; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2014-12-11 21:19:28.755; org.apache.solr.core.RequestHandlers; created /export: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.755; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
WARN  - 2014-12-11 21:19:28.756; org.apache.solr.core.RequestHandlers; Multiple requestHandler registered to the same name: /update ignoring: org.apache.solr.handler.UpdateRequestHandler
INFO  - 2014-12-11 21:19:28.757; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
INFO  - 2014-12-11 21:19:28.757; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2014-12-11 21:19:28.758; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2014-12-11 21:19:28.759; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2014-12-11 21:19:28.759; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2014-12-11 21:19:28.760; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2014-12-11 21:19:28.760; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2014-12-11 21:19:28.762; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2014-12-11 21:19:28.763; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2014-12-11 21:19:28.765; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2014-12-11 21:19:28.772; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2014-12-11 21:19:28.772; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.773; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.773; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.774; org.apache.solr.core.RequestHandlers; created /suggest: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.774; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.774; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.775; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.775; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.775; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.776; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2014-12-11 21:19:28.812; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-12-11 21:19:28.814; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-12-11 21:19:28.815; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-12-11 21:19:28.815; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-12-11 21:19:28.816; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2014-12-11 21:19:28.828; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2014-12-11 21:19:28.829; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2014-12-11 21:19:28.835; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(MMapDirectory@D:\Desktop\solr-4.10.1\example\solr\collection1\data\index lockFactory=NativeFSLockFactory@D:\Desktop\solr-4.10.1\example\solr\collection1\data\index; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2014-12-11 21:19:28.836; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2014-12-11 21:19:28.841; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@7fce9126[collection1] main
INFO  - 2014-12-11 21:19:28.846; org.apache.solr.rest.ManagedResourceStorage$FileStorageIO; File-based storage initialized to use dir: D:\Desktop\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-12-11 21:19:28.847; org.apache.solr.rest.RestManager; Initializing RestManager with initArgs: {storageDir=D:\Desktop\solr-4.10.1\example\solr\collection1\conf}
INFO  - 2014-12-11 21:19:28.848; org.apache.solr.rest.ManagedResourceStorage; Reading _rest_managed.json using file:dir=D:\Desktop\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-12-11 21:19:28.853; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _rest_managed.json using file:dir=D:\Desktop\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-12-11 21:19:28.854; org.apache.solr.rest.ManagedResource; Loaded initArgs {} for /rest/managed
INFO  - 2014-12-11 21:19:28.855; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2014-12-11 21:19:28.855; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=D:\Desktop\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-12-11 21:19:28.857; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=D:\Desktop\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-12-11 21:19:28.857; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2014-12-11 21:19:28.858; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2014-12-11 21:19:28.859; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2014-12-11 21:19:28.859; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=D:\Desktop\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-12-11 21:19:28.860; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=D:\Desktop\solr-4.10.1\example\solr\collection1\conf
INFO  - 2014-12-11 21:19:28.861; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
